FullFunction,DuckDBProducer-AceroConsumer,DuckDBProducer-DuckDBConsumer,IbisProducer-AceroConsumer,IbisProducer-DuckDBConsumer,IsthmusProducer-DuckDBConsumer,IsthmusProducer-AceroConsumer
approximation.approx_count_distinct,False,True,False,False,False,False
arithmetic_decimal.add,False,True,False,False,False,False
arithmetic_decimal.subtract,False,True,False,False,False,False
arithmetic_decimal.multiply,False,True,False,False,False,False
arithmetic_decimal.divide,False,True,False,False,False,False
arithmetic_decimal.modulus,False,True,False,False,False,False
arithmetic_decimal.sum,False,True,False,False,False,False
arithmetic_decimal.avg,False,True,False,False,False,False
arithmetic_decimal.min,False,True,False,False,False,False
arithmetic_decimal.max,False,True,False,False,False,False
arithmetic.add,False,True,False,True,False,False
arithmetic.subtract,False,True,False,True,False,False
arithmetic.multiply,False,True,False,True,False,False
arithmetic.divide,False,True,False,True,False,False
arithmetic.modulus,False,True,False,True,False,False
arithmetic.factorial,False,False,False,False,False,False
arithmetic.power,False,True,False,True,False,False
arithmetic.sqrt,False,True,False,True,False,False
arithmetic.exp,False,True,False,True,False,False
arithmetic.negate,False,False,False,False,False,False
arithmetic.cos,False,True,False,True,False,False
arithmetic.acos,False,True,False,True,False,False
arithmetic.sin,False,True,False,True,False,False
arithmetic.asin,False,True,False,True,False,False
arithmetic.tan,False,True,False,True,False,False
arithmetic.atan,False,True,False,True,False,False
arithmetic.atan2,False,True,False,False,False,False
arithmetic.abs,False,True,False,True,False,False
arithmetic.sign,False,True,False,True,False,False
arithmetic.sum,False,True,False,True,False,False
arithmetic.count,False,True,False,False,False,False
arithmetic.avg,False,True,False,False,False,False
arithmetic.min,False,True,False,True,False,False
arithmetic.max,False,True,False,True,False,False
arithmetic.median,False,True,False,True,False,False
arithmetic.mode,False,True,False,False,False,False
arithmetic.product,False,True,False,False,False,False
arithmetic.std_dev,False,True,False,False,False,False
arithmetic.variance,False,True,False,False,False,False
boolean.or,False,True,True,True,False,True
boolean.and,False,True,True,True,False,True
boolean.not,False,True,False,False,True,True
boolean.xor,False,True,False,False,False,False
boolean.bool_and,False,True,False,False,False,False
boolean.bool_or,False,True,False,False,False,False
comparison.not_equal,False,True,True,True,False,False
comparison.equal,False,True,False,True,False,False
comparison.is_not_distinct_from,False,False,False,False,False,False
comparison.lt,False,True,False,True,False,False
comparison.lte,False,True,False,True,False,False
comparison.gt,False,True,False,True,False,False
comparison.gte,False,True,False,True,False,False
comparison.is_not_null,False,True,False,False,False,False
comparison.is_null,False,False,False,False,False,False
comparison.is_nan,False,True,False,False,False,False
comparison.is_finite,False,True,False,False,False,False
comparison.is_infinite,False,True,False,False,False,False
comparison.coalesce,False,False,False,False,False,False
datetime.extract,False,False,False,False,False,False
datetime.add,False,False,False,False,False,False
datetime.add_intervals,False,False,False,False,False,False
datetime.subtract,False,False,False,False,False,False
datetime.lt,False,False,False,False,False,False
datetime.lte,False,False,False,False,False,False
datetime.gt,False,False,False,False,False,False
datetime.gte,False,False,False,False,False,False
logarithmic.ln,False,True,False,True,False,False
logarithmic.log10,False,True,False,True,False,False
logarithmic.log2,False,True,False,True,False,False
logarithmic.logb,False,False,False,False,False,False
rounding.ceil,False,True,False,True,False,False
rounding.floor,False,True,False,True,False,False
rounding.round,False,True,False,True,False,False
string.concat,False,True,False,False,False,False
string.concat_ws,False,False,False,False,False,False
string.like,False,True,False,False,False,False
string.starts_with,False,True,False,True,False,False
string.ends_with,False,True,False,True,False,False
string.substring,False,True,False,True,False,False
string.contains,False,True,False,True,False,False
string.strpos,False,True,False,True,False,False
string.replace,False,True,False,True,False,False
string.repeat,False,True,False,True,False,False
string.reverse,False,True,False,True,False,False
string.lower,False,True,False,True,False,False
string.upper,False,True,False,True,False,False
string.char_length,False,True,False,True,False,False
string.bit_length,False,True,False,False,False,False
string.ltrim,False,True,False,False,False,False
string.rtrim,False,True,False,False,False,False
string.trim,False,True,False,False,False,False
string.lpad,False,True,False,True,False,False
string.rpad,False,True,False,True,False,False
string.left,False,True,False,True,False,False
string.right,False,True,False,True,False,False
string.string_agg,False,False,False,False,False,False
